forecast_time,temperature,feels_like_temperature,min_temperature,max_temperature,pressure,humidity,cloudiness,wind_speed,wind_direction,visibility,precipitation_probability,rain_volume,weather_main,weather_description,city_name,country,city_latitude,city_longitude,population,timezone,sunrise,sunset
2024-08-23 10:00:00,23.82,24.56,23.07,23.82,1013.0,88.0,75.0,2.14,226.0,10000.0,0.54,0.26,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-23 13:00:00,24.2,25.0,24.2,24.97,1013.0,89.0,83.0,3.24,215.0,6037.0,1.0,4.33,Rain,moderate rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-23 16:00:00,23.88,24.73,23.88,23.91,1011.0,92.0,92.0,3.22,203.0,6388.0,1.0,5.13,Rain,moderate rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-23 19:00:00,22.47,23.25,22.47,22.47,1011.0,95.0,100.0,3.61,189.0,10000.0,1.0,3.59,Rain,moderate rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-23 22:00:00,21.82,22.59,21.82,21.82,1014.0,97.0,100.0,3.11,188.0,10000.0,0.48,0.27,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 01:00:00,21.52,22.29,21.52,21.52,1013.0,98.0,100.0,2.13,181.0,10000.0,0.42,0.14,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 04:00:00,21.36,22.14,21.36,21.36,1013.0,99.0,100.0,1.55,181.0,10000.0,0.21,0.13,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 07:00:00,21.52,22.29,21.52,21.52,1015.0,98.0,100.0,1.47,178.0,10000.0,0.22,0.15,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 10:00:00,23.75,24.5,23.75,23.75,1016.0,89.0,100.0,2.46,191.0,10000.0,0.97,0.41,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 13:00:00,24.71,25.46,24.71,24.71,1014.0,85.0,97.0,2.41,172.0,10000.0,1.0,0.82,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 16:00:00,26.0,26.0,26.0,26.0,1012.0,79.0,99.0,2.19,185.0,10000.0,0.71,0.73,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 19:00:00,23.37,24.09,23.37,23.37,1014.0,89.0,95.0,2.0,186.0,10000.0,0.63,0.71,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-24 22:00:00,21.71,22.39,21.71,21.71,1016.0,94.0,86.0,1.67,201.0,10000.0,0.11,0.0,Clouds,overcast clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-25 01:00:00,21.11,21.78,21.11,21.11,1015.0,96.0,83.0,1.47,239.0,10000.0,0.06,0.0,Clouds,broken clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-25 04:00:00,20.98,21.67,20.98,20.98,1015.0,97.0,100.0,1.19,251.0,10000.0,0.15,0.0,Clouds,overcast clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-25 07:00:00,21.09,21.79,21.09,21.09,1015.0,97.0,100.0,1.27,264.0,10000.0,0.39,0.1,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-25 10:00:00,23.06,23.72,23.06,23.06,1017.0,88.0,100.0,1.49,279.0,10000.0,0.2,0.14,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-25 13:00:00,26.68,28.33,26.68,26.68,1014.0,70.0,97.0,2.31,263.0,10000.0,0.03,0.0,Clouds,overcast clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-25 16:00:00,27.92,29.9,27.92,27.92,1011.0,65.0,95.0,2.89,260.0,10000.0,0.62,0.21,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
